2021-04-18 21:57:37,544 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,602 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,602 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,602 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,603 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,603 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,603 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,603 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,603 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,603 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,603 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,603 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,603 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,603 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,603 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,603 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,604 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,604 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,604 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,604 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,604 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,604 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,605 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,605 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,605 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,605 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,605 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,605 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,605 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,605 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,605 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,605 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,605 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,605 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,605 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,606 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,607 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,607 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,607 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,607 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,607 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,607 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,607 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,607 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,607 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,607 INFO c.e.t.f.CardFactory [main] Empty typed card created : CongratulatoryCard{ CONGRATULATORY Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
2021-04-18 21:57:37,607 INFO c.e.t.f.CardFactory [main] Empty typed card created : AdvertisingCard{ ADVERTISING Card{id=0, them='null', send=false, country='null', date=null, authors=[], valuable='null'}}
